Par,Vassom,År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
c,19,2014,0.0,318.40827829213885,409.856324806689,106.4,334.8442230560836,19433.218113385443,1169.5088261549113,20602.726939540353
c,19,2015,0.0,263.10232336879824,391.20396640361236,93.0,266.7466639101468,15481.188552068577,1014.0529536825574,16495.241505751135
c,19,2016,0.0,222.0374047734509,242.5361268409635,120.159,215.76942516669766,12522.197570553555,800.5019567811121,13322.699527334667
c,19,2017,0.0,245.87563481704782,304.15222238107714,129.0,242.69329458812825,14084.686033680813,921.7211517862531,15006.407185467066
c,19,2018,0.0,218.3771965997098,234.1926688665322,168.98,215.52181661825776,12508.381188795074,837.0716820844997,13345.452870879573
c,19,2019,0.0,252.85708428744041,245.8667313593227,163.42,256.47567752907014,14885.507664304072,918.6194931758332,15804.127157479905
c,19,2020,0.0,303.7191283613092,210.675550491696,132.9,319.36915168072375,18534.5961437279,966.663830533729,19501.25997426163
c,19,2021,0.0,214.4983211632321,214.4676109131072,131.4,206.3018949750313,11972.32144447436,766.6678270513705,12738.989271525732
c,19,2022,0.0,201.23109242889663,208.70325102958859,144.6,191.19546400368276,11096.289395296939,745.729807462168,11842.019202759107
c,19,2023,0.0,265.8141747426489,266.87931899572385,121.6,270.1951548729212,15681.8152755673,924.488648611294,16606.303924178595
c,20,2013,162.7165,173.41052425132992,90.83064082760916,1.676618672,156.95777379510344,10685.158801093296,585.5920575460425,11270.750858639338
c,20,2014,141.5531,251.901709439477,76.41466544915643,0.847900976,250.75454778373572,17059.80137503128,721.4719236483692,17781.273298679647
c,20,2015,215.4087,204.92014861694113,105.16023508070657,0.46481087440000013,192.37738175066224,13096.491423295536,718.33127632271,13814.822699618246
c,20,2016,121.1526,172.34844787538896,93.98402186745867,0.6177016160000001,155.31561737730073,10575.642031678466,543.4183887361482,11119.060420414615
